Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,P01,P02,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$97.68,$104.66,Y,Y,Y,N,N,Price Limited Supports
01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Night - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$100.60,$107.79,Y,Y,Y,N,N,Price Limited Supports
01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$73.82,$79.09,Y,Y,Y,N,N,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$367.02,$393.24,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$87.04,$93.26,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$89.66,$96.06,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$193.48,$207.30,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$199.29,$213.53,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$122.51,$131.27,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1_T,Assistance With Self-Care Activities - Standard - Saturday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$126.20,$135.21,Y,Y,Y,N,N,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$157.99,$169.28,Y,Y,Y,N,N,Price Limited Supports
01_014_0107_1_1_T,Assistance With Self-Care Activities - Standard - Sunday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$162.74,$174.36,Y,Y,Y,N,N,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$95.90,$102.75,Y,Y,Y,N,N,Price Limited Supports
01_015_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Evening - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$98.78,$105.84,Y,Y,Y,N,N,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$73.82,$79.09,Y,Y,Y,N,N,Price Limited Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_019_0120_1_1,House or Yard Maintenance,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$50.87,$50.87,$50.87,$50.87,$50.87,$50.87,$50.87,$50.87,$71.22,$76.31,Y,Y,Y,N,N,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$51.81,$51.81,$51.81,$51.81,$51.81,$51.81,$51.81,$51.81,$72.53,$77.71,Y,Y,Y,N,N,Price Limited Supports
01_021_0120_1_1,Linen Service,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_022_0120_1_1,Assistance With The Cost Of Preparation And Delivery Of Meals,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$626.62,$626.62,$626.62,$626.62,$626.62,$626.62,$626.62,$626.62,$877.27,$939.93,N,N,Y,N,N,Price Limited Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
01_051_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$761.02,$761.02,$761.02,$761.02,$761.02,$761.02,$761.02,$761.02,"$1,065.43","$1,141.53",N,N,Y,N,N,Price Limited Supports
01_052_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$925.60,$925.60,$925.60,$925.60,$925.60,$925.60,$925.60,$925.60,"$1,295.84","$1,388.40",N,N,Y,N,N,Price Limited Supports
01_053_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,090.18","$1,090.18","$1,090.18","$1,090.18","$1,090.18","$1,090.18","$1,090.18","$1,090.18","$1,526.25","$1,635.27",N,N,Y,N,N,Price Limited Supports
01_054_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,060.48","$1,060.48","$1,060.48","$1,060.48","$1,060.48","$1,060.48","$1,060.48","$1,060.48","$1,484.67","$1,590.72",N,N,Y,N,N,Price Limited Supports
01_055_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,329.28","$1,329.28","$1,329.28","$1,329.28","$1,329.28","$1,329.28","$1,329.28","$1,329.28","$1,860.99","$1,993.92",N,N,Y,N,N,Price Limited Supports
01_056_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,658.44","$1,658.44","$1,658.44","$1,658.44","$1,658.44","$1,658.44","$1,658.44","$1,658.44","$2,321.82","$2,487.66",N,N,Y,N,N,Price Limited Supports
01_057_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,987.60","$1,987.60","$1,987.60","$1,987.60","$1,987.60","$1,987.60","$1,987.60","$1,987.60","$2,782.64","$2,981.40",N,N,Y,N,N,Price Limited Supports
01_058_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,928.20","$1,928.20","$1,928.20","$1,928.20","$1,928.20","$1,928.20","$1,928.20","$1,928.20","$2,699.48","$2,892.30",N,N,Y,N,N,Price Limited Supports
01_059_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$2,465.80","$2,465.80","$2,465.80","$2,465.80","$2,465.80","$2,465.80","$2,465.80","$2,465.80","$3,452.12","$3,698.70",N,N,Y,N,N,Price Limited Supports
01_060_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$3,124.12","$3,124.12","$3,124.12","$3,124.12","$3,124.12","$3,124.12","$3,124.12","$3,124.12","$4,373.77","$4,686.18",N,N,Y,N,N,Price Limited Supports
01_061_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$3,782.44","$3,782.44","$3,782.44","$3,782.44","$3,782.44","$3,782.44","$3,782.44","$3,782.44","$5,295.42","$5,673.66",N,N,Y,N,N,Price Limited Supports
01_062_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$771.24,$771.24,$771.24,$771.24,$771.24,$771.24,$771.24,$771.24,"$1,079.74","$1,156.86",N,N,Y,N,N,Price Limited Supports
01_063_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$950.44,$950.44,$950.44,$950.44,$950.44,$950.44,$950.44,$950.44,"$1,330.62","$1,425.66",N,N,Y,N,N,Price Limited Supports
01_064_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,169.88","$1,169.88","$1,169.88","$1,169.88","$1,169.88","$1,169.88","$1,169.88","$1,169.88","$1,637.83","$1,754.82",N,N,Y,N,N,Price Limited Supports
01_065_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,"$1,389.32","$1,389.32","$1,389.32","$1,389.32","$1,389.32","$1,389.32","$1,389.32","$1,389.32","$1,945.05","$2,083.98",N,N,Y,N,N,Price Limited Supports
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,No,20220912,99991231,"$1,365.88","$1,365.88","$1,365.88","$1,365.88","$1,365.88","$1,365.88","$1,365.88","$1,365.88","$1,912.23","$2,048.82",N,N,N,N,N,Price Limited Supports
01_082_0115_1_1,Medium Term Accommodation,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20220701,99991231,$137.15,$137.15,$137.15,$137.15,$137.15,$137.15,$137.15,$137.15,$192.01,$205.73,N,N,Y,N,N,Price Limited Supports
01_134_0117_8_1,Capacity Building and Training in Self-Management and Plan Management,0117,Development Of Daily Living And Life Skills,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$99.22,$106.31,Y,Y,Y,N,N,Price Limited Supports
01_200_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Daytime,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$87.04,$93.26,N,N,Y,N,N,Price Limited Supports
01_201_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Evening,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$95.90,$102.75,N,N,Y,N,N,Price Limited Supports
01_202_0115_1_1,Assistance With Self-Care Activities in a STA - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$122.51,$131.27,N,N,Y,N,N,Price Limited Supports
01_203_0115_1_1,Assistance With Self-Care Activities in a STA - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$157.99,$169.28,N,N,Y,N,N,Price Limited Supports
01_204_0115_1_1,Assistance With Self-Care Activities in a STA - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$193.48,$207.30,N,N,Y,N,N,Price Limited Supports
01_205_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Night,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$97.68,$104.66,N,N,Y,N,N,Price Limited Supports
01_400_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$67.28,$67.28,$67.28,$67.28,$67.28,$67.28,$67.28,$67.28,$94.19,$100.92,Y,Y,Y,N,N,Price Limited Supports
01_400_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$69.15,$69.15,$69.15,$69.15,$69.15,$69.15,$69.15,$69.15,$96.81,$103.73,Y,Y,Y,N,N,Price Limited Supports
01_401_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$74.14,$74.14,$74.14,$74.14,$74.14,$74.14,$74.14,$74.14,$103.80,$111.21,Y,Y,Y,N,N,Price Limited Supports
01_401_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$76.20,$76.20,$76.20,$76.20,$76.20,$76.20,$76.20,$76.20,$106.68,$114.30,Y,Y,Y,N,N,Price Limited Supports
01_402_0104_1_1,Assistance With Self-Care Activities - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$94.71,$94.71,$94.71,$94.71,$94.71,$94.71,$94.71,$94.71,$132.59,$142.07,Y,Y,Y,N,N,Price Limited Supports
01_402_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$97.34,$97.34,$97.34,$97.34,$97.34,$97.34,$97.34,$97.34,$136.28,$146.01,Y,Y,Y,N,N,Price Limited Supports
01_403_0104_1_1,Assistance With Self-Care Activities - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$122.14,$122.14,$122.14,$122.14,$122.14,$122.14,$122.14,$122.14,$171.00,$183.21,Y,Y,Y,N,N,Price Limited Supports
01_403_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$125.53,$125.53,$125.53,$125.53,$125.53,$125.53,$125.53,$125.53,$175.74,$188.30,Y,Y,Y,N,N,Price Limited Supports
01_404_0104_1_1,Assistance With Self-Care Activities - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$149.57,$149.57,$149.57,$149.57,$149.57,$149.57,$149.57,$149.57,$209.40,$224.36,Y,Y,Y,N,N,Price Limited Supports
01_404_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$153.72,$153.72,$153.72,$153.72,$153.72,$153.72,$153.72,$153.72,$215.21,$230.58,Y,Y,Y,N,N,Price Limited Supports
01_405_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Night,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$75.51,$75.51,$75.51,$75.51,$75.51,$75.51,$75.51,$75.51,$105.71,$113.27,Y,Y,Y,N,N,Price Limited Supports
01_405_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Night - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$77.60,$77.60,$77.60,$77.60,$77.60,$77.60,$77.60,$77.60,$108.64,$116.40,Y,Y,Y,N,N,Price Limited Supports
01_600_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$89.17,$89.17,$89.17,$89.17,$89.17,$89.17,$89.17,$89.17,$124.84,$133.75,Y,Y,Y,Y,N,Price Limited Supports
01_601_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$98.36,$98.36,$98.36,$98.36,$98.36,$98.36,$98.36,$98.36,$137.70,$147.54,Y,Y,Y,Y,N,Price Limited Supports
01_602_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$127.20,$127.20,$127.20,$127.20,$127.20,$127.20,$127.20,$127.20,$178.09,$190.81,Y,Y,Y,Y,N,Price Limited Supports
01_603_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$146.23,$146.23,$146.23,$146.23,$146.23,$146.23,$146.23,$146.23,$204.72,$219.34,Y,Y,Y,Y,N,Price Limited Supports
01_604_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$165.24,$165.24,$165.24,$165.24,$165.24,$165.24,$165.24,$165.24,$231.34,$247.86,Y,Y,Y,Y,N,Price Limited Supports
01_605_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$100.19,$100.19,$100.19,$100.19,$100.19,$100.19,$100.19,$100.19,$140.27,$150.29,Y,Y,Y,Y,N,Price Limited Supports
01_606_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$110.40,$110.40,$110.40,$110.40,$110.40,$110.40,$110.40,$110.40,$154.56,$165.61,Y,Y,Y,Y,N,Price Limited Supports
01_606_0118_1_3,Capacity Building for Early Childhood Interventions - Counsellor,0118,Early Intervention Supports For Early Childhood,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$156.16,$156.16,$156.16,$156.16,$156.16,$156.16,$156.16,$156.16,$218.62,$234.24,Y,Y,Y,Y,N,Price Limited Supports
01_607_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$121.79,$121.79,$121.79,$121.79,$121.79,$121.79,$121.79,$121.79,$170.50,$182.69,Y,Y,Y,Y,N,Price Limited Supports
01_608_0114_1_1,Delivery of Health Supports by a Registered Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$157.55,$157.55,$157.55,$157.55,$157.55,$157.55,$157.55,$157.55,$220.57,$236.33,Y,Y,Y,Y,N,Price Limited Supports
01_609_0114_1_1,Delivery of Health Supports by a Registered Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$181.12,$181.12,$181.12,$181.12,$181.12,$181.12,$181.12,$181.12,$253.57,$271.69,Y,Y,Y,Y,N,Price Limited Supports
01_609_0118_1_3,Capacity Building for Early Childhood Interventions - Exercise Physiologist,0118,Early Intervention Supports For Early Childhood,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$166.99,$166.99,$166.99,$166.99,$166.99,$166.99,$166.99,$166.99,$233.79,$250.49,Y,Y,Y,Y,N,Price Limited Supports
01_610_0114_1_1,Delivery of Health Supports by a Registered Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$204.70,$204.70,$204.70,$204.70,$204.70,$204.70,$204.70,$204.70,$286.57,$307.05,Y,Y,Y,Y,N,Price Limited Supports
01_611_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$124.05,$124.05,$124.05,$124.05,$124.05,$124.05,$124.05,$124.05,$173.67,$186.08,Y,Y,Y,Y,N,Price Limited Supports
01_612_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$127.70,$127.70,$127.70,$127.70,$127.70,$127.70,$127.70,$127.70,$178.78,$191.55,Y,Y,Y,Y,N,Price Limited Supports
01_613_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$140.86,$140.86,$140.86,$140.86,$140.86,$140.86,$140.86,$140.86,$197.21,$211.29,Y,Y,Y,Y,N,Price Limited Supports
01_614_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$182.23,$182.23,$182.23,$182.23,$182.23,$182.23,$182.23,$182.23,$255.13,$273.36,Y,Y,Y,Y,N,Price Limited Supports
01_615_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$209.51,$209.51,$209.51,$209.51,$209.51,$209.51,$209.51,$209.51,$293.32,$314.28,Y,Y,Y,Y,N,Price Limited Supports
01_616_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$236.78,$236.78,$236.78,$236.78,$236.78,$236.78,$236.78,$236.78,$331.50,$355.17,Y,Y,Y,Y,N,Price Limited Supports
01_617_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$143.50,$143.50,$143.50,$143.50,$143.50,$143.50,$143.50,$143.50,$200.90,$215.25,Y,Y,Y,Y,N,Price Limited Supports
